,date_time,instrument,client,price,mid,vol_MM,dv01,num_dealers,side,won
104172,2019-04-15 12:54:50.0,F,F,110.454,110.3935,0.2,13.504,5,-1,0
104188,2019-04-16 08:03:27.0,B,G,109.772,109.793,10.0,22.7438,3,-1,0
104290,2019-04-24 09:43:28.0,D,F,101.857,101.841,0.4,14.2287,5,-1,1
104351,2019-04-26 09:41:41.0,D,F,101.981,101.9312,0.005,14.2341,5,-1,0
104381,2019-04-26 15:05:44.0,I,F,113.89,113.8531,0.099,5.918,5,-1,0
104382,2019-04-26 15:09:57.0,F,F,111.075,111.025,0.02,13.5656,5,-1,0
104472,2019-05-02 14:54:18.0,F,F,111.659,111.609,0.7,13.635,5,-1,0
104473,2019-05-02 14:56:01.0,D,F,103.384,103.334,0.58,14.4498,5,-1,0
104487,2019-05-03 10:08:09.0,D,G,103.227,103.2773,6.0,14.4386,5,1,0
104549,2019-05-07 13:47:21.0,F,F,111.979,111.929,1.025,13.6747,5,-1,0
104635,2019-05-10 14:54:37.0,D,F,103.4,103.3223,0.2,14.4312,5,-1,0
104664,2019-05-13 15:17:55.0,F,F,111.55,111.507,0.23,13.6009,5,-1,0
104736,2019-05-16 09:29:32.0,L,G,100.912,100.9113,8.4,5.2106,5,1,1
104770,2019-05-17 10:21:22.0,C,G,105.596,105.5832,0.8,9.79,5,-1,0
104942,2019-05-29 08:43:05.0,C,G,106.824,106.8193,5.2,9.8953,4,1,0
104989,2019-05-30 15:20:52.0,C,G,106.525,106.55,3.0,9.8592,5,1,0
105016,2019-05-31 15:20:19.0,I,F,114.727,114.7591,0.2,5.8811,2,1,0
105147,2019-06-06 12:58:48.0,H,F,111.935,111.8918,0.25,7.298,1,-1,0
105155,2019-06-06 15:12:02.0,C,G,108.055,108.0375,14.6,9.9986,4,-1,0
105226,2019-06-10 15:23:19.0,A,G,108.03,108.0654,1.0,9.3137,5,1,0
105267,2019-06-12 09:11:30.0,J,G,113.254,113.2903,0.6,11.4574,5,1,0
105293,2019-06-12 15:27:53.0,D,F,110.491,110.4461,0.294,15.5166,5,-1,0
105377,2019-06-17 15:42:49.0,D,G,111.51,111.509,2.7,15.6774,1,1,1
105435,2019-06-18 15:19:21.0,D,G,113.636,113.7618,7.5,16.0435,5,1,0
105465,2019-06-19 12:23:10.0,B,G,130.905,130.7249,2.6,28.2029,5,-1,0
105518,2019-06-20 15:03:48.0,F,F,121.668,121.623,0.201,14.9518,6,-1,0
105549,2019-06-21 15:02:30.0,K,F,128.313,128.349,3.5,7.1038,6,1,1
105719,2019-06-28 15:14:43.0,B,G,131.579,131.62,4.1,28.417,4,1,0
105753,2019-07-02 07:58:26.0,A,G,110.351,110.4176,5.1,9.4884,5,1,0
105778,2019-07-02 15:24:39.0,F,F,123.003,122.973,0.23,15.1197,6,-1,0
105823,2019-07-04 07:42:17.0,D,G,117.614,117.6555,0.3,16.6264,5,1,0
105904,2019-07-05 13:58:34.0,L,F,102.312,102.3299,1.5,5.1603,5,1,0
108833,2019-07-05 14:52:41.0,F,F,122.325,122.285,0.1,15.0081,6,-1,0
108883,2019-07-09 08:28:14.0,B,G,131.215,131.2992,2.2,28.3009,5,1,0
108910,2019-07-10 07:47:03.0,B,G,131.187,131.2575,2.1,28.2984,5,1,0
108988,2019-07-12 07:54:37.0,B,G,127.892,127.9903,2.0,27.4246,5,1,0
111954,2019-07-15 08:58:25.0,B,G,127.564,127.6503,0.7,27.3248,4,1,0
112002,2019-07-16 08:57:01.0,F,F,121.139,120.9448,0.21,14.7939,6,-1,0
112019,2019-07-16 14:12:32.0,J,G,114.868,114.9376,4.05,11.5625,5,1,0
112025,2019-07-16 15:14:24.0,A,F,109.38,109.3085,0.13,9.3418,6,-1,0
112044,2019-07-17 11:27:21.0,B,G,130.576,130.523,1.0,28.0892,5,-1,1
112111,2019-07-19 11:50:57.0,J,G,116.07,116.0699,3.05,11.6802,5,1,0
112113,2019-07-19 12:13:18.0,I,G,115.657,115.6572,10.0,5.8028,5,1,0
112135,2019-07-22 09:43:52.0,J,G,115.917,115.9592,2.65,11.6647,5,1,0
112183,2019-07-23 15:26:51.0,C,G,110.571,110.5463,4.0,10.1479,4,-1,1
112229,2019-07-24 15:36:42.0,L,G,102.498,102.5494,7.5,5.1265,5,1,0
112259,2019-07-25 15:38:28.0,A,G,110.343,110.3142,13.2,9.4106,5,-1,0
112284,2019-07-26 15:29:44.0,L,G,102.396,102.4244,5.45,5.1079,4,1,1
112469,2019-08-06 07:56:56.0,F,G,124.765,124.8645,2.8,15.2963,5,1,0
112501,2019-08-07 11:57:04.0,F,G,126.14,126.1585,2.8,15.4825,5,1,0
112503,2019-08-07 14:20:01.0,D,G,120.296,120.1356,1.4,16.95,6,-1,0
112504,2019-08-07 14:47:05.0,L,F,102.935,102.903,1.0,5.109,7,-1,0
112608,2019-08-13 14:32:17.0,B,G,139.14,139.5746,0.1,30.4617,6,1,0
112739,2019-08-22 15:13:21.0,L,G,102.799,102.8142,0.3,5.0566,5,1,0
112920,2019-09-03 13:12:57.0,I,G,115.916,115.9419,0.6,5.6983,8,1,0
114125,2019-09-09 15:03:52.0,B,G,137.714,137.838,0.5,29.9327,7,1,0
114223,2019-09-13 09:42:22.0,C,G,111.74,111.5888,1.5,10.1144,5,-1,0
114306,2019-09-18 08:45:43.0,E,F,102.436,102.4745,5.0,3.9484,6,1,0
114318,2019-09-18 11:05:29.0,C,F,111.919,111.8787,0.007,10.1123,6,-1,0
114806,2019-09-27 15:43:22.0,C,G,112.67,112.7188,15.8,8.9468,1,1,1
114989,2019-10-09 13:06:06.0,I,F,115.425,115.4657,0.025,5.5808,1,1,0
118182,2019-10-17 15:10:34.0,L,F,102.289,102.262,5.0,4.9315,4,-1,1
118231,2019-10-21 14:03:05.0,A,G,110.645,110.6611,3.2,9.3811,5,1,0
118332,2019-10-25 14:38:27.0,H,G,112.848,112.8662,1.2,7.12,8,1,0
130624,2019-01-25 10:23:44.0,A,F,101.662,101.6302,1.0,9.0065,5,-1,0
130665,2019-01-28 13:44:54.0,A,F,101.359,101.3742,3.603,8.978,6,1,0
130679,2019-01-28 16:20:02.0,G,F,103.015,103.0446,0.065,7.5941,5,1,0
130784,2019-01-31 16:19:47.0,A,F,101.894,101.8378,1.5,9.013,5,-1,1
130785,2019-01-31 16:21:21.0,E,F,100.554,100.672,0.1,4.4793,5,1,0
131764,2019-02-08 14:01:54.0,H,F,107.774,107.7089,4.7,7.2804,5,-1,0
131920,2019-02-15 16:03:40.0,A,F,101.481,101.4448,0.02,8.9367,4,-1,0
131923,2019-02-15 16:13:38.0,G,F,102.884,102.9189,0.28,7.5328,4,1,0
131924,2019-02-18 08:48:07.0,E,F,100.62,100.5876,0.9,4.4313,5,-1,0
133047,2019-02-25 16:25:38.0,J,F,105.909,105.8623,0.102,10.8443,5,-1,0
133338,2019-02-28 15:06:58.0,F,F,107.928,107.9275,0.1,13.2454,5,1,1
133398,2019-03-04 12:44:50.0,D,G,99.069,99.0825,7.5,13.882,5,1,1
133450,2019-03-06 09:33:45.0,B,G,106.593,106.6625,4.0,21.9807,5,1,0
133597,2019-03-08 16:16:05.0,F,F,109.522,109.496,0.036,13.454,5,-1,0
133627,2019-03-11 14:39:53.0,B,G,108.427,108.442,3.8,22.4411,5,1,0
133691,2019-03-13 13:31:28.0,I,F,113.114,113.0591,2.0,5.9895,5,-1,0
133731,2019-03-14 15:47:20.0,F,G,108.84,108.91,1.2,13.356,5,1,0
133765,2019-03-15 14:18:10.0,I,F,113.199,113.1348,0.995,5.9837,5,-1,0
134936,2019-03-18 16:16:52.0,D,F,100.947,100.9016,0.25,14.151,5,-1,0
134948,2019-03-19 10:51:44.0,I,G,113.349,113.3488,2.0,5.9923,5,1,0
135389,2019-03-27 14:16:45.0,B,F,110.776,110.871,0.5,23.0578,5,1,0
135475,2019-04-01 10:02:44.0,E,F,101.202,101.229,2.0,4.3519,5,1,0
135546,2019-04-03 09:43:50.0,C,G,102.98,103.0235,6.35,9.6285,4,1,0
135601,2019-04-03 15:38:11.0,D,F,101.286,101.2861,0.98,14.1814,5,-1,1
135740,2019-04-09 13:56:30.0,J,F,107.675,107.7401,0.6,10.9646,5,1,0
135835,2019-04-12 10:18:23.0,C,G,104.099,104.0986,3.9,9.7168,5,-1,1
138253,2019-05-03 10:05:15.0,D,G,103.298,103.2932,7.5,14.4411,5,1,1
139866,2019-05-06 08:43:52.0,C,F,104.503,104.5267,5.0,9.7086,5,1,0
139927,2019-05-08 09:21:09.0,C,G,104.761,104.7918,14.05,9.7319,4,1,0
139944,2019-05-08 15:08:13.0,F,F,111.944,111.901,0.17,13.6684,5,-1,0
140073,2019-05-15 09:32:52.0,B,G,112.375,112.515,3.5,23.4195,4,1,0
143387,2019-05-27 11:48:40.0,D,G,105.965,106.0354,4.5,14.8382,4,1,0
143404,2019-05-28 09:08:51.0,D,G,106.328,106.3346,4.2,14.8836,5,1,1
143438,2019-05-29 08:44:52.0,D,G,107.286,107.2803,4.3,15.0353,4,1,1
143445,2019-05-29 09:27:44.0,L,G,101.277,101.3018,5.25,5.2043,5,1,0
143482,2019-05-30 15:35:26.0,A,G,106.625,106.6549,0.2,9.1964,5,1,0
143519,2019-05-31 15:26:57.0,B,G,118.98,118.8795,24.2,25.0723,1,-1,1
145635,2019-06-03 15:18:50.0,D,F,108.261,108.2161,0.112,15.1758,5,-1,0
145671,2019-06-04 14:58:39.0,L,F,101.484,101.5157,2.0,5.2014,1,1,1
145684,2019-06-05 10:28:57.0,C,G,107.729,107.7141,0.4,9.9748,5,-1,0
145755,2019-06-10 07:44:35.0,L,G,101.723,101.7427,0.65,5.1989,5,1,0
145850,2019-06-12 14:13:18.0,B,G,124.523,124.443,0.35,26.532,6,-1,0
148764,2019-06-24 15:23:17.0,D,F,114.234,114.178,0.09,16.0936,6,-1,0
149036,2019-07-04 12:57:34.0,B,F,136.815,136.909,0.2,29.8217,5,1,0
149054,2019-07-04 15:21:49.0,C,F,111.662,111.654,0.001,10.3094,6,-1,0
149087,2019-07-05 13:27:11.0,A,F,110.183,110.3295,1.562,9.4653,6,1,0
149097,2019-07-08 07:44:57.0,D,G,115.58,115.6026,2.6,16.2936,5,1,0
149100,2019-07-08 08:16:20.0,H,G,113.252,113.2731,2.35,7.3256,5,1,0
152030,2019-07-09 13:32:30.0,B,G,131.825,131.9131,2.05,28.478,5,1,0
152059,2019-07-10 10:21:17.0,E,F,102.363,102.406,10.0,4.1378,6,1,0
152118,2019-07-11 14:04:24.0,B,G,129.363,129.6413,2.0,27.8513,5,1,0
152151,2019-07-12 12:43:05.0,D,F,112.3,112.1379,0.108,15.7139,6,-1,1
152182,2019-07-16 08:53:11.0,I,G,115.36,115.405,3.3,5.8009,5,1,0
152183,2019-07-16 08:57:32.0,D,F,113.965,113.803,0.4,15.9812,6,-1,0
152184,2019-07-16 08:58:45.0,F,F,121.131,120.937,1.0,14.793,6,-1,0
152200,2019-07-16 15:15:45.0,H,F,112.703,112.5849,0.08,7.2515,6,-1,0
152210,2019-07-17 08:12:14.0,L,G,102.119,102.1587,5.0,5.1223,5,1,0
152263,2019-07-18 12:36:14.0,B,G,132.007,131.9178,1.9,28.4526,4,-1,0
152884,2019-07-19 09:24:19.0,J,G,115.941,115.9692,2.1,11.669,5,1,0
152896,2019-07-19 11:50:28.0,L,G,102.379,102.3993,3.5,5.1258,5,1,0
152898,2019-07-19 12:11:25.0,G,G,109.029,109.059,1.6,7.6396,5,1,0
152901,2019-07-22 07:18:13.0,L,G,102.313,102.3329,3.7,5.119,5,1,1
152936,2019-07-23 10:13:46.0,A,G,109.853,109.8112,0.7,9.3725,6,-1,0
152999,2019-07-25 09:53:57.0,B,G,133.491,133.9261,1.9,28.9754,5,1,0
153053,2019-07-26 11:11:51.0,C,G,110.992,110.9674,2.6,10.179,5,-1,0
153101,2019-07-30 12:44:41.0,B,G,132.246,132.3324,1.4,28.5561,5,1,0
153151,2019-08-01 08:56:00.0,L,G,102.47,102.5089,13.1,5.0963,1,-1,1
153186,2019-08-02 09:18:38.0,L,G,102.659,102.6868,2.6,5.1042,5,1,1
153234,2019-08-06 07:58:51.0,F,G,124.805,124.8945,2.8,15.3042,5,1,0
154041,2019-08-07 14:21:40.0,D,G,120.186,120.1901,1.4,16.9527,6,-1,0
154821,2019-08-22 15:14:03.0,L,G,102.764,102.8142,1.3,5.057,5,1,0
154861,2019-08-26 12:20:50.0,B,F,141.196,141.661,0.219,30.9909,6,1,0
155199,2019-09-11 15:28:09.0,D,F,117.176,117.2562,0.65,16.4018,6,1,0
157370,2019-10-03 14:21:47.0,L,G,102.713,102.727,0.4,4.9342,6,1,0
158104,2019-10-04 08:37:58.0,L,G,102.769,102.7536,0.6,4.9349,5,-1,0
158163,2019-10-09 13:01:49.0,E,F,102.7,102.7061,0.001,4.0,1,1,1
161747,2019-02-01 11:58:45.0,E,B,100.721,100.696,1.2,4.478,5,-1,0
161753,2019-02-01 11:52:14.0,F,A,107.802,107.752,0.1,13.2777,6,-1,0
161756,2019-02-01 16:17:11.0,E,C,100.691,100.661,0.024,4.4763,5,-1,0
161802,2019-03-01 16:08:59.0,B,A,105.259,105.3515,0.044,21.6388,5,1,0
161807,2019-03-01 12:42:09.0,K,B,125.315,125.3152,0.013,7.1934,5,1,0
161808,2019-03-01 14:12:31.0,K,B,125.242,125.2417,1.0,7.1881,5,1,0
161817,2019-03-01 16:07:04.0,C,C,101.394,101.3548,0.126,9.5228,5,-1,0
161839,2019-04-01 15:13:55.0,C,B,102.921,102.9208,0.03,9.6229,5,-1,0
161842,2019-04-01 13:39:55.0,D,A,101.523,101.4675,1.2,14.215,6,-1,0
161843,2019-04-01 13:39:55.0,C,A,103.111,103.1005,8.5,9.6415,6,-1,0
161942,2019-07-01 09:15:36.0,B,A,131.713,131.708,3.877,28.4358,3,-1,0
161947,2019-07-01 09:41:44.0,D,A,114.545,114.5923,2.5,16.1452,5,1,0
161949,2019-07-01 11:02:20.0,E,D,102.506,102.481,10.844,4.1666,8,-1,1
161953,2019-07-01 07:37:15.0,F,A,121.768,121.6191,3.0,14.9291,6,-1,0
161956,2019-07-01 08:15:41.0,G,D,108.544,108.5778,0.033,7.655,9,1,0
161957,2019-07-01 08:34:01.0,F,A,121.701,121.6591,3.0,14.9356,6,-1,0
161964,2019-07-01 11:02:20.0,G,D,108.532,108.5097,8.312,7.6489,8,-1,0
161965,2019-07-01 14:24:27.0,I,B,115.531,115.5306,0.017,5.85,5,-1,1
161970,2019-07-01 15:28:55.0,C,C,110.779,110.7771,0.094,10.2296,5,-1,0
161974,2019-07-01 15:12:59.0,C,A,110.711,110.7105,0.158,10.2228,5,-1,1
162041,2019-08-01 15:15:23.0,F,A,123.78,123.7591,0.05,15.1489,6,-1,1
162052,2019-08-01 08:32:34.0,G,B,109.343,109.3012,0.2,7.6235,5,-1,0
162053,2019-08-01 12:21:00.0,A,B,110.723,110.7411,0.005,9.4349,5,1,0
162059,2019-08-01 15:22:00.0,D,B,116.901,116.8917,0.091,16.4381,5,-1,0
162064,2019-08-01 15:10:49.0,E,C,102.876,102.8444,0.039,4.0938,5,-1,0
162070,2019-08-01 14:57:56.0,D,B,116.962,116.9126,7.5,16.4394,5,-1,0
162126,2019-10-01 15:09:13.0,J,A,118.65,118.6081,0.138,11.7394,5,-1,0
162127,2019-10-01 15:09:24.0,F,A,125.722,125.767,0.04,15.2117,5,1,0
163442,2019-04-02 07:49:24.0,B,B,108.684,108.798,2.715,22.5043,5,1,0
163482,2019-05-02 11:08:04.0,B,A,112.39,112.2653,0.5,23.3724,5,-1,0
163483,2019-05-02 14:54:23.0,C,A,104.393,104.3926,0.195,9.6992,5,1,0
163484,2019-05-02 15:07:42.0,B,A,112.034,112.0253,0.105,23.3118,5,-1,0
163501,2019-05-02 14:04:47.0,I,B,114.075,114.0754,0.002,5.916,5,1,0
163585,2019-07-02 13:23:21.0,H,A,113.457,113.3556,11.5,7.3486,5,-1,0
163586,2019-07-02 13:26:39.0,B,A,133.691,133.8061,2.0,29.0003,5,1,0
163588,2019-07-02 12:41:57.0,K,B,128.944,128.9441,0.001,7.1197,5,-1,0
163589,2019-07-02 15:11:02.0,K,B,129.068,129.0682,0.024,7.1291,5,1,0
163590,2019-07-02 15:12:03.0,D,B,115.951,116.0138,0.015,16.3734,5,1,0
163593,2019-07-02 14:06:46.0,F,A,122.833,122.7622,4.5,15.0907,5,-1,0
163608,2019-07-02 11:01:50.0,B,A,133.546,133.6911,2.0,28.9641,6,1,0
163611,2019-07-02 13:29:21.0,G,D,109.19,109.1225,6.097,7.6967,19,-1,0
163654,2019-08-02 10:16:30.0,H,A,113.949,113.8996,1.0,7.3005,5,-1,1
163670,2019-08-02 07:19:08.0,E,C,102.908,102.8764,0.046,4.0919,5,-1,0
163672,2019-08-02 07:19:08.0,K,C,129.112,129.104,0.054,7.0376,5,-1,0
163673,2019-08-02 07:22:28.0,G,C,109.701,109.653,0.053,7.6498,5,-1,0
163674,2019-08-02 07:23:08.0,G,C,109.698,109.6501,0.053,7.6498,5,-1,0
163675,2019-08-02 07:23:08.0,A,C,111.182,111.1152,0.05,9.4689,5,-1,0
163687,2019-08-02 15:19:37.0,H,A,113.795,113.7465,0.2,7.2887,6,-1,0
163721,2019-09-02 09:42:34.0,D,A,120.051,119.8996,0.75,16.8493,5,-1,0
163722,2019-09-02 09:42:35.0,E,A,103.116,103.0759,4.25,4.022,5,-1,0
163728,2019-09-02 09:53:06.0,G,A,110.388,110.4172,7.0,7.6321,5,1,0
163748,2019-09-02 07:30:54.0,D,A,120.168,119.9996,0.75,16.8689,5,-1,0
163749,2019-09-02 07:36:33.0,F,A,126.709,126.5642,4.5,15.4748,4,-1,0
163750,2019-09-02 08:37:27.0,J,A,119.426,119.2449,6.3,11.936,4,-1,0
163751,2019-09-02 10:39:38.0,L,A,102.911,103.012,2.3,5.0435,5,1,0
168068,2019-04-03 11:00:25.0,D,A,101.346,101.3958,0.75,14.2022,5,1,0
168079,2019-04-03 11:05:51.0,F,A,109.785,109.8227,5.0,13.4519,5,1,0
168083,2019-04-03 15:18:36.0,K,C,126.033,126.0131,0.009,7.1608,5,-1,0
168084,2019-04-03 15:27:22.0,F,C,109.851,109.752,0.031,13.4385,5,-1,0
168144,2019-05-03 09:05:25.0,F,A,111.516,111.4663,0.75,13.6141,5,-1,0
168153,2019-05-03 11:43:42.0,K,B,126.658,126.6585,0.002,7.1205,5,-1,0
168157,2019-05-03 14:07:11.0,I,B,114.11,114.11,0.001,5.9155,5,1,0
168159,2019-05-03 14:15:21.0,G,B,105.404,105.4036,0.009,7.5436,5,-1,1
168160,2019-05-03 14:52:57.0,I,B,114.095,114.0954,0.683,5.9147,5,1,0
168162,2019-05-03 09:15:41.0,J,A,108.612,108.5586,11.4,10.999,5,-1,0
168163,2019-05-03 15:13:55.0,B,B,111.98,112.1203,0.037,23.3301,5,1,0
168169,2019-05-03 10:35:12.0,E,A,101.672,101.6759,11.0,4.2822,5,-1,1
168212,2019-06-03 13:28:41.0,D,A,108.018,108.0607,6.0,15.1507,5,1,0
168216,2019-06-03 15:13:26.0,G,A,107.125,107.1253,0.384,7.61,5,-1,1
168230,2019-06-03 09:38:30.0,D,A,108.389,108.4342,6.0,15.2155,6,1,0
168231,2019-06-03 09:38:30.0,C,A,107.37,107.3688,4.2,9.9426,6,1,0
168233,2019-06-03 14:36:01.0,C,D,107.165,107.1721,0.235,9.9201,14,1,0
168278,2019-07-03 08:30:55.0,G,A,109.84,109.8153,10.0,7.7515,5,-1,0
168279,2019-07-03 08:37:14.0,J,A,117.784,117.7762,7.5,11.9284,5,1,0
168281,2019-07-03 11:42:56.0,D,A,117.572,117.4519,1.75,16.6063,5,-1,0
168284,2019-07-03 13:03:15.0,C,A,111.88,111.9016,4.4,10.3451,4,1,0
168292,2019-07-03 11:25:03.0,K,B,129.619,129.6187,0.001,7.163,5,-1,0
168309,2019-07-03 14:06:46.0,C,A,111.909,111.9341,4.35,10.3483,6,1,0
168317,2019-07-03 07:33:00.0,C,A,111.823,111.8483,8.75,10.3395,5,1,1
168407,2019-09-03 11:13:23.0,G,A,110.398,110.3457,10.1,7.6234,5,-1,0
168416,2019-09-03 15:09:59.0,K,A,129.247,129.2348,0.046,6.9675,5,-1,0
168417,2019-09-03 15:10:03.0,B,A,143.532,143.489,0.025,31.4576,5,-1,0
168420,2019-09-03 10:13:02.0,K,B,129.338,129.3194,0.004,6.9735,10,-1,0
168422,2019-09-03 10:27:40.0,I,B,116.104,116.1225,3.0,5.7093,10,1,1
168425,2019-09-03 13:26:17.0,A,B,112.303,112.3325,0.013,9.5072,10,1,0
168426,2019-09-03 13:26:18.0,H,B,114.185,114.238,0.01,7.2441,10,1,0
168427,2019-09-03 14:00:43.0,E,B,102.981,102.999,0.003,4.0154,10,1,0
168433,2019-09-03 15:11:31.0,D,B,120.439,120.3887,0.053,16.9255,10,-1,0
168447,2019-09-03 14:44:28.0,G,A,110.325,110.391,46.0,7.6267,2,1,0
168448,2019-09-03 14:44:28.0,A,A,112.447,110.391,36.88,7.6267,2,-1,0
168491,2019-10-03 09:27:22.0,D,A,119.462,119.5233,2.5,16.6924,4,1,1
168495,2019-10-03 15:09:03.0,F,A,126.061,126.0203,0.03,15.2889,5,-1,1
170591,2019-02-04 16:08:50.0,A,A,101.378,101.3783,0.149,8.9615,5,-1,0
170593,2019-02-04 08:54:48.0,I,B,112.636,112.6419,0.15,6.0591,5,1,0
170607,2019-02-04 16:10:14.0,K,C,125.193,125.2219,0.096,7.2568,5,1,0
170635,2019-03-04 08:31:58.0,B,A,105.27,105.3829,1.5,21.6479,6,1,0
170637,2019-03-04 10:02:00.0,A,B,101.689,101.689,0.054,8.9249,5,1,0
170638,2019-03-04 10:02:13.0,K,B,125.205,125.2055,0.042,7.183,5,1,0
170639,2019-03-04 14:22:31.0,I,B,112.802,112.7966,0.022,5.9965,5,1,0
170641,2019-03-04 11:40:36.0,C,A,101.345,101.3579,3.65,9.5219,6,1,0
170644,2019-03-04 16:07:08.0,E,A,100.689,100.689,0.292,4.3989,5,-1,0
170708,2019-04-04 09:38:44.0,F,A,109.846,109.8793,1.0,13.452,5,1,0
170709,2019-04-04 10:58:12.0,F,A,110.001,110.0443,0.8,13.4741,5,1,0
170713,2019-04-04 15:00:18.0,B,B,109.455,109.3975,0.001,22.6564,5,-1,0
170720,2019-04-04 09:40:08.0,D,A,101.409,101.4591,3.0,14.2044,6,1,0
170727,2019-04-04 15:39:11.0,B,C,109.504,109.4125,0.008,22.6617,5,-1,0
170799,2019-06-04 15:10:14.0,C,C,107.555,107.538,0.178,9.9564,5,-1,1
170800,2019-06-04 15:26:43.0,K,D,127.905,127.9239,3.793,7.1269,5,1,0
170811,2019-06-04 08:16:49.0,E,D,102.107,102.129,0.017,4.2232,8,1,0
170814,2019-06-04 08:16:49.0,H,D,111.705,111.7337,0.007,7.2977,8,1,0
170818,2019-06-04 11:26:39.0,C,A,107.693,107.6881,7.5,9.9734,6,1,0
170870,2019-07-04 08:28:53.0,B,B,137.527,137.421,2.134,29.9578,5,-1,0
170875,2019-07-04 10:04:06.0,F,A,124.439,124.4992,0.75,15.3283,5,1,0
170889,2019-07-04 15:11:34.0,E,C,102.878,102.8935,0.588,4.1736,5,1,0
170893,2019-07-04 08:35:34.0,G,D,109.651,109.6326,2.245,7.7274,21,-1,0
170894,2019-07-04 11:42:35.0,E,A,102.978,102.9779,7.0,4.178,6,1,0
170897,2019-07-04 15:08:34.0,D,C,117.098,117.066,0.048,16.5341,5,-1,0
170985,2019-09-04 09:52:46.0,C,A,112.688,112.7187,8.0,10.2631,5,1,0
170986,2019-09-04 11:00:20.0,F,A,126.07,125.7776,1.8,15.3624,5,-1,0
170989,2019-09-04 13:26:44.0,D,B,118.748,118.7872,0.087,16.665,10,1,0
170990,2019-09-04 15:10:37.0,I,B,115.757,115.7832,0.021,5.6876,10,1,0
170999,2019-09-04 13:32:28.0,J,A,118.519,118.5391,6.8,11.8507,5,1,0
171006,2019-09-04 10:54:05.0,I,A,115.895,115.8527,3.2,5.6918,5,-1,0
171007,2019-09-04 12:26:36.0,I,A,115.874,115.7814,3.25,5.6876,5,-1,0
171010,2019-09-04 15:09:07.0,L,A,102.853,102.8357,0.292,5.0274,5,-1,0
171011,2019-09-04 15:10:23.0,F,A,125.729,125.684,0.1,15.3437,5,-1,0
171069,2019-10-04 15:05:58.0,D,A,119.753,119.7319,0.02,16.7419,5,-1,0
171070,2019-10-04 15:06:08.0,L,A,102.739,102.7229,0.02,4.9349,5,-1,0
171072,2019-10-04 15:07:01.0,F,A,126.171,126.1383,0.164,15.3265,5,-1,1
